NAMESPACE      NAME                                        TYPE           CLUSTER-IP       EXTERNAL-IP                                                                    PORT(S)                          AGE
default        andygrafana                                 LoadBalancer   172.20.96.216    a9fcdabe4208f11ea906b06b9971f375-482377254.ap-northeast-2.elb.amazonaws.com    80:31997/TCP                     44m
default        andyprometheus-alertmanager                 ClusterIP      172.20.138.231   <none>                                                                         80/TCP                           44m
default        andyprometheus-kube-state-metrics           ClusterIP      None             <none>                                                                         80/TCP                           44m
default        andyprometheus-node-exporter                ClusterIP      None             <none>                                                                         9100/TCP                         44m
default        andyprometheus-pushgateway                  ClusterIP      172.20.119.12    <none>                                                                         9091/TCP                         44m
default        andyprometheus-server                       ClusterIP      172.20.172.149   <none>                                                                         80/TCP                           44m
default        andyredis                                   LoadBalancer   172.20.198.221   a9c51f164208f11ea906b06b9971f375-1360734662.ap-northeast-2.elb.amazonaws.com   6379:31003/TCP,26379:31413/TCP   44m
default        andyredis-headless                          ClusterIP      None             <none>                                                                         6379/TCP,26379/TCP               44m
default        andyredis-metrics                           LoadBalancer   172.20.164.200   a9c52e1f8208f11ea906b06b9971f375-515746432.ap-northeast-2.elb.amazonaws.com    9121:31782/TCP                   44m
default        kubernetes                                  ClusterIP      172.20.0.1       <none>                                                                         443/TCP                          100m
devops         chartmuseum                                 ClusterIP      172.20.39.171    <none>                                                                         8080/TCP                         71m
devops         docker-registry                             ClusterIP      172.20.45.224    <none>                                                                         5000/TCP                         70m
devops         jenkins                                     ClusterIP      172.20.173.28    <none>                                                                         8080/TCP                         70m
devops         jenkins-agent                               ClusterIP      172.20.170.132   <none>                                                                         50000/TCP                        70m
kube-ingress   nginx-ingress-nodeport-controller           NodePort       172.20.156.166   <none>                                                                         80:32000/TCP,443:32443/TCP       82m
kube-ingress   nginx-ingress-nodeport-controller-metrics   ClusterIP      172.20.236.44    <none>                                                                         9913/TCP                         82m
kube-ingress   nginx-ingress-nodeport-controller-stats     ClusterIP      172.20.2.35      <none>                                                                         18080/TCP                        82m
kube-ingress   nginx-ingress-nodeport-default-backend      ClusterIP      172.20.1.233     <none>                                                                         80/TCP                           82m
kube-system    cluster-autoscaler                          ClusterIP      172.20.211.56    <none>                                                                         8085/TCP                         80m
kube-system    kube-dns                                    ClusterIP      172.20.0.10      <none>                                                                         53/UDP,53/TCP                    100m
kube-system    kube-state-metrics                          ClusterIP      172.20.4.181     <none>                                                                         8080/TCP                         78m
kube-system    metrics-server                              ClusterIP      172.20.202.230   <none>                                                                         443/TCP                          77m
kube-system    tiller-deploy                               ClusterIP      172.20.69.29     <none>                                                                         44134/TCP                        85m
